"filename", "language", "JavaScript", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Login\Login.screen.js", "JavaScript", 178, 0, 0, 0, 9, 187
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Question\ApprovedQuestions.screen.js", "JavaScript", 110, 0, 0, 0, 10, 120
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Question\DeniedQuestions.screen.js", "JavaScript", 110, 0, 0, 0, 10, 120
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Question\Question.api.js", "JavaScript", 44, 0, 0, 0, 8, 52
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Question\Question.css", "CSS", 0, 0, 6, 0, 1, 7
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Question\Question.screen.js", "JavaScript", 429, 0, 0, 1, 25, 455
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Question\components\Answers.js", "JavaScript", 83, 0, 0, 0, 6, 89
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Question\components\BookDetails.js", "JavaScript", 23, 0, 0, 0, 3, 26
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Question\components\Question.js", "JavaScript", 135, 0, 0, 0, 6, 141
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Question\components\QuestionItem.js", "JavaScript", 82, 0, 0, 0, 2, 84
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Question\components\QuestionList.js", "JavaScript", 60, 0, 0, 0, 2, 62
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Quiz\Quiz.api.js", "JavaScript", 17, 0, 0, 0, 3, 20
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Quiz\Quiz.scss", "SCSS", 0, 47, 0, 0, 6, 53
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Quiz\QuizScreen.js", "JavaScript", 181, 0, 0, 8, 15, 204
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Quiz\components\Answers.js", "JavaScript", 58, 0, 0, 0, 5, 63
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Quiz\components\NavCircle.js", "JavaScript", 35, 0, 0, 1, 3, 39
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Quiz\components\Question.js", "JavaScript", 39, 0, 0, 0, 3, 42
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\School\School.api.js", "JavaScript", 8, 0, 0, 0, 2, 10
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\School\SchoolsList.screen.js", "JavaScript", 115, 0, 0, 0, 5, 120
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\School\components\SchoolItem.js", "JavaScript", 22, 0, 0, 0, 2, 24
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Start\StartQuiz.screen.js", "JavaScript", 220, 0, 0, 0, 13, 233
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Start\StartQuiz.scss", "SCSS", 0, 10, 0, 0, 3, 13
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\Start\components\BookCard.js", "JavaScript", 57, 0, 0, 0, 3, 60
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\User\AddUser.screen.js", "JavaScript", 87, 0, 0, 0, 4, 91
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\User\ModifyUser.screen.js", "JavaScript", 504, 0, 0, 0, 18, 522
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\User\User.api.js", "JavaScript", 85, 0, 0, 0, 10, 95
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\User\UsersList.screen.js", "JavaScript", 164, 0, 0, 0, 7, 171
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\User\components\AddUserForm.js", "JavaScript", 492, 0, 0, 2, 29, 523
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\User\components\StudentPointsHistory.js", "JavaScript", 91, 0, 0, 0, 8, 99
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\User\components\UserItem.js", "JavaScript", 76, 0, 0, 0, 4, 80
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\modules\User\components\UserList.js", "JavaScript", 26, 0, 0, 0, 3, 29
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\redux\Badge\Badge.js", "JavaScript", 38, 0, 0, 0, 5, 43
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\redux\Book\CurrentBook.js", "JavaScript", 16, 0, 0, 0, 5, 21
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\redux\Color\Color.js", "JavaScript", 19, 0, 0, 0, 5, 24
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\redux\Question\Question.js", "JavaScript", 29, 0, 0, 0, 5, 34
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\redux\Quiz\Quiz.js", "JavaScript", 31, 0, 0, 0, 5, 36
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\redux\Quiz\QuizResult.js", "JavaScript", 25, 0, 0, 0, 5, 30
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\redux\store.js", "JavaScript", 30, 0, 0, 0, 4, 34
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\utils\index.js", "JavaScript", 372, 0, 0, 6, 35, 413
"c:\Users\radu_\Desktop\project_frontend\RateMyReading\frontend-only\src\wdyr.js", "JavaScript", 7, 0, 0, 0, 2, 9
"Total", "-", 8618, 114, 28, 145, 656, 9561
